"","song","artist","pronoun","genre_1","genre_2","genre_3","weights"
"1","My Uncle Dan McCann "," Mick Moloney "," he/him "," shanty "," Worldwide "," irish folk",5
"2","Dreams (Album Version) "," Van Halen "," they/them "," Hard Rock "," Pop "," Hard Rock",4
"3","Mind Of A Killer "," Tech N9ne "," he/him "," pop rap "," insights_high_priority_artists "," hip hop",3
"4","Santa Elegia "," Carlos Vives "," he/him "," colombian pop "," Latin "," Latino",2
"5","Energi "," Suspekt "," they/them "," danish hip hop "," Hip-Hop/Rap "," Hip-Hop/Rap",1
"6","HTML Rulez DOOd (Album Version) "," The Devil Wears Prada "," they/them "," Metal "," christian rock "," post-hardcore",5
"7","Lolita "," Mustard Plug "," they/them "," modern ska punk "," grand rapids indie "," Punk",4
"8","Feel You "," Ferry Corsten "," he/him "," trance "," Dance "," Electronic",3
"9","Code Of The Streets (Explicit) "," Gang Starr "," they/them "," east coast hip hop "," insights_high_priority_artists "," Hip-Hop/Rap",2
"10","Tune Up/When Lights Are Low "," Miles Davis "," he/him "," hard bop "," French Pop "," jazz trumpet",1
"11","Rose-A-Lee "," Smokie "," they/them "," classic uk pop "," soft rock "," classic uk pop",5
"12","The Writhing South "," Say Anything "," they/them "," Punk "," indie rock "," Rock",4
"13","Houses "," Vetiver "," he/him "," indie rock "," Alternative "," Folk",3
"14","Airport "," The Motors "," they/them "," Pop "," Rock "," insights_high_priority_artists",2
"15","Luna Nueva "," Carlos Vives "," he/him "," colombian pop "," Latin "," Latino",1
"16","Homework "," The J. Geils Band "," they/them "," hard rock "," mellow gold "," rock",5
"17","L'Hymne A L'Amour "," Lara Fabian "," she/her "," french pop "," operatic pop "," Pop",4
"18","En la otra orilla "," Rosana "," she/her "," Pop "," R&B/Soul "," Latin",3
"19","Donde ya no te tengo "," Rosana "," she/her "," Pop "," R&B/Soul "," Latin",2
"20","Bully "," Gob "," they/them "," Alternative "," skate punk "," insights_high_priority_artists",1
"21","Black & Gold "," Sam Sparro "," he/him "," electropop "," australian dance "," R&B/Soul",5
"22","Never Let You Go "," Sir Charles Jones "," he/him "," southern soul "," southern soul blues "," Soul",4
"23","A Perfectly Good Heart "," Taylor Swift "," she/her "," Pop "," Country "," Rock",3
"24","Mend Your Ways "," Mustard Plug "," they/them "," modern ska punk "," grand rapids indie "," Punk",2
"25","I Found That Essence Rare "," Gang Of Four "," they/them "," art rock "," Alternative "," Punk",1
"26","A Synonym For Acquiesce (Album Version) "," Bayside "," they/them "," Rock "," post-hardcore "," alternative emo",5
"27","Borrowed Time "," Madvillain "," he/him "," Hip-Hop/Rap "," abstract hip hop "," psychedelic hip hop",4
"28","Fuck Rap "," Suspekt "," they/them "," danish hip hop "," Hip-Hop/Rap "," Hip-Hop/Rap",3
"29","Airport "," The Motors "," they/them "," Pop "," Rock "," insights_high_priority_artists",2
"30","Hyperactive! "," Thomas Dolby "," he/him "," steampunk "," Electronic "," Pop",1
"31","Everybody "," Richard Ashcroft "," he/him "," solo wave "," pop rock "," Adult Alternative",5
"32","A Prophet Named K.G. "," Dexter Wansel "," he/him "," R&B/Soul "," rare groove "," philly soul",4
"33","Every Man Has A Molly "," Say Anything "," they/them "," Punk "," indie rock "," Rock",3
"34","Children Of The Gun "," Drowning Pool "," they/them "," Hard Rock "," alternative metal "," rap metal",2
"35","King Zero "," Drowning Pool "," they/them "," Hard Rock "," alternative metal "," rap metal",1
"36","Mil y una noche "," Rosana "," she/her "," Pop "," R&B/Soul "," Latin",5
"37","Here Today_ Gone Tomorrow "," Ulrich Schnauss "," he/him "," Electronic "," electronica "," german electronica",4
"38","Don't Call Me Peanut "," Bayside "," they/them "," Rock "," post-hardcore "," alternative emo",3
"39","Down To This "," Soul Coughing "," he/him "," Pop "," alternative rock "," pop rock",2
"40","Noelia "," Nino Bravo "," he/him "," spanish pop "," Pop "," Latino",1
"41","Have You Never Been Mellow "," Olivia Newton-John "," she/her "," soft rock "," adult standards "," bubblegum pop",5
"42","Mind Of A Killer "," Tech N9ne "," he/him "," pop rap "," insights_high_priority_artists "," hip hop",4
"43","I Found That Essence Rare "," Gang Of Four "," they/them "," art rock "," Alternative "," Punk",3
"44","Where My Money (I Need That) "," Rick Ross "," he/him "," pop rap "," hip hop "," Gangsta Rap",2
"45","Graphics "," Memory Tapes "," he/him "," new jersey indie "," Rock "," Electronic",1
"46","Yellow Cat (Slash) Red Cat "," Say Anything "," they/them "," Punk "," indie rock "," Rock",5
"47","Dark & Long "," Underworld "," they/them "," big beat "," Electronic "," Dance",4
"48","Number Three_ Never Forgot (Album Version) "," The Devil Wears Prada "," they/them "," Metal "," christian rock "," post-hardcore",3
"49","Return Of The Phantom Stranger "," Rob Zombie "," he/him "," Metal "," rap rock "," Rock",2
"50","Shall We Dance "," Bloodlined Calligraphy "," they/them "," christian hardcore "," Rock "," Metal",1
