"","song","artist","pronoun","genre_1","genre_2","genre_3","weights"
"1","Winding Wind "," Big Country "," they/them "," new wave pop "," new wave pop "," Pop",5
"2","Human "," The Killers "," they/them "," Alternative "," permanent wave "," modern rock",4
"3","Narcotic (Long Version) "," Liquido "," they/them "," Rock "," german alternative rock "," Rock",3
"4","Harvest (Remastered Album Version) "," Neil Young "," he/him "," Singer/Songwriter "," album rock "," Rock",2
"5","Harvest (Remastered Album Version) "," Neil Young "," he/him "," Southern Rock "," Rock "," canadian singer-songwriter",1
"6","Cats In The Cradle "," Ugly Kid Joe "," they/them "," hard rock "," glam metal "," Rock",5
"7","Going Bad "," Tech N9ne "," he/him "," hip hop "," rap "," pop rap",4
"8","Seven Words featuring Skatterman_ Krizz Kaliko "," Tech N9ne "," he/him "," hip hop "," rap "," pop rap",3
"9","Heaven Is A Truck "," Pavement "," they/them "," dream pop "," Alternative "," rock",2
"10","Buttons "," The Pussycat Dolls "," they/them "," Dance "," Pop "," R&B/Soul",1
"11","Cats In The Cradle "," Ugly Kid Joe "," they/them "," hard rock "," glam metal "," Rock",5
"12","Your Rocky Spine "," Great Lake Swimmers "," they/them "," canadian indie folk "," Folk "," Alternative",4
"13","Electric Feel "," MGMT "," they/them "," indietronica "," modern rock "," Electronic",3
"14","Staring Down "," Collective Soul "," they/them "," Rock "," pop rock "," post-grunge",2
"15","(They Long To Be) Close To You "," Carpenters "," they/them "," soft rock "," Soft Rock "," Pop",1
"16","Seven "," Fever Ray "," they/them "," swedish electropop "," dark pop "," swedish synthpop",5
"17","Damn Girl "," The All-American Rejects "," they/them "," modern rock "," pop punk "," Pop",4
"18","Cassie "," Flyleaf "," they/them "," Alternative "," Rock "," Metal",3
"19","I Thought It Was You "," Julia Fordham "," she/her "," Pop "," Rock "," Alternative",2
"20","Bad Medicine Waltz "," The Cult "," they/them "," alternative rock "," glam metal "," album rock",1
"21","That Owl "," Tech N9ne "," he/him "," hip hop "," rap "," pop rap",5
"22","One Night Stand "," Tech N9ne "," he/him "," hip hop "," rap "," pop rap",4
"23","Come Gangsta "," Tech N9ne "," he/him "," hip hop "," rap "," pop rap",3
"24","Buttons "," The Pussycat Dolls "," they/them "," Dance "," Pop "," R&B/Soul",2
"25","Addams Groove "," MC Hammer "," he/him "," Hip-Hop/Rap "," Hip-Hop "," hip hop",1
"26","Living In A Lie "," Guano Apes "," they/them "," nu metal "," post-grunge "," german rock",5
"27","Your Rocky Spine "," Great Lake Swimmers "," they/them "," canadian indie folk "," Folk "," Alternative",4
"28","5.45 "," Gang Of Four "," they/them "," art rock "," Alternative "," Punk",3
"29","(They Long To Be) Close To You "," Carpenters "," they/them "," soft rock "," Soft Rock "," Pop",2
"30","Staring Down "," Collective Soul "," they/them "," Rock "," pop rock "," post-grunge",1
"31","Cats In The Cradle "," Ugly Kid Joe "," they/them "," hard rock "," glam metal "," Rock",5
"32","Call Girlz "," Tech N9ne "," he/him "," hip hop "," rap "," pop rap",4
"33","He Wanna Be Paid "," Tech N9ne "," he/him "," hip hop "," rap "," pop rap",3
"34","The P.A.S.E.O. (The Poem Aaron Saw Extra Ordinary) "," Tech N9ne "," he/him "," hip hop "," rap "," pop rap",2
"35","Human After All "," Daft Punk "," they/them "," Electronic "," Rock "," House",1
"36","Living In A Lie "," Guano Apes "," they/them "," nu metal "," post-grunge "," german rock",5
"37","Saturdays "," Cut Copy "," they/them "," electronica "," chillwave "," Rock",4
"38","This Boy's In Love "," The Presets "," they/them "," indietronica "," alternative dance "," electronica",3
"39","O Hosanna "," Pedestrian "," he/him "," Hip-Hop/Rap "," Electronic "," Dance",2
"40","Black Is My Color "," I-Roy "," he/him "," lovers rock "," rock steady "," Reggae",1
"41","Cats In The Cradle "," Ugly Kid Joe "," they/them "," hard rock "," glam metal "," Rock",5
"42","Living In A Lie "," Guano Apes "," they/them "," nu metal "," post-grunge "," german rock",4
"43","Nearly Home "," Lange "," he/him "," trance "," progressive house "," insights_high_priority_artists",3
"44","Keep Away "," Godsmack "," they/them "," post-grunge "," rap rock "," Rock",2
"45","Spiral "," Godsmack "," they/them "," post-grunge "," rap rock "," Rock",1
