"","hyb_weight_male","hyb_weight_female","ubcf_weight_male","ubcf_weight_female","rerec_weight_male","rerec_weight_female"
"1",2.76,2.85,2.9,3.33,2.98,3.07
"2",3.07,2.89,3.03,2.88,2.94,3.19
"3",2.86,2.88,3.21,3.1,3.06,2.93
"4",3.1,3.75,3.25,3.64,2.93,2.8
"5",3.19,3,3.2,3.11,2.98,2.92
"6",2.8,3.2,3.26,2.79,3.17,3.04
"7",3.21,3.13,3.14,2.72,3.41,2.33
"8",2.89,2.8,3.12,3.4,3.22,3.2
"9",2.81,3.36,2.94,4,2.86,3.12
"10",2.98,2.93,3.12,3.2,3.06,3.05
"11",3.11,3.04,2.73,3.43,3.09,3.21
"12",3.16,3.28,3.33,3.21,3.03,3.24
"13",3.22,3.37,3.25,2.67,3.13,3.13
"14",2.96,3.4,3.16,3.33,3.19,2.38
"15",3.1,2.67,3.22,2.67,2.85,3.24
"16",3.05,3.39,3.11,3.27,3.04,2.96
"17",3,2.94,3.04,3.08,3.05,3.19
"18",2.93,2.85,3.62,3.47,2.94,2.93
"19",3.36,3.19,3.28,3,3.15,2.63
"20",2.83,3.21,3.46,2.31,3.02,3.13
"21",3.14,3.17,3.27,2.73,2.81,3
"22",3.04,3.06,3.31,1.91,2.79,3.26
"23",2.8,3.29,3.25,2.67,2.87,3.41
"24",3.06,2.78,3.23,3,3,3.13
"25",3,2.89,3,3.33,3,3.19
"26",3.07,2.74,3.27,2.94,2.93,2.56
"27",2.88,2.95,3.11,3.7,3.06,3.13
"28",2.62,2.88,3.05,2.6,2.93,3.14
"29",3.17,2.88,3.37,3,3.05,2.78
"30",3.11,3.33,3.15,3.45,2.95,2.47
"31",3.05,2.68,3.18,2.62,3.09,3.18
"32",2.69,3.19,3.2,3.29,3.02,3.15
"33",2.97,3,3.22,3,2.88,2.64
"34",3.06,2.67,3.26,3.35,2.83,3.03
"35",3.14,3.14,3.33,2.8,3.1,2.35
"36",3.18,2.75,3.3,2.43,3.15,2.53
"37",3.06,3.47,3.26,2.87,3.17,3.15
"38",3,2.9,3.09,3.13,2.98,2.9
"39",3.05,3.61,3.06,3.57,3.21,3.29
"40",2.9,3.23,3.1,2,3.04,2.67
"41",3.19,2.4,3.2,2.71,2.73,3
"42",3.3,2.81,3.09,3.33,2.88,2.85
"43",3.38,2.52,3.18,2.72,3.08,2.65
"44",2.9,3.08,3.38,2.47,2.81,2.75
"45",2.95,3.17,3.22,3,3.03,3
"46",3.16,3,3.41,2.6,3.02,2.6
"47",2.95,2.25,3.02,3.38,3.19,3
"48",3.14,2.64,3.23,3.78,2.98,2.82
"49",3.05,3.41,3.15,2.87,3.02,2.9
"50",2.93,3,3.32,3,3,2.7
"51",3.09,3.3,3.12,3.33,3.11,3.28
"52",2.81,3.36,3.27,2.6,2.93,2.78
"53",3.08,3.16,2.93,2.78,2.84,3.19
"54",2.83,3,3.17,2.83,3.17,3.29
"55",2.79,3.39,3.32,3,3,2.7
"56",2.89,2.92,3.35,2.3,3.1,2.36
"57",2.93,2.62,3.16,3.08,2.94,2.82
"58",3.07,2.68,3.03,2.71,3.05,3.11
"59",2.98,2.7,3.26,2.9,2.97,3
"60",2.93,3.11,3.29,2.73,3.21,2.92
"61",3.06,3.24,2.95,2.91,2.9,3.18
"62",3.05,2.82,3.37,2.5,3.13,3.19
"63",3.15,2.13,3.16,2.83,3.06,3
"64",3,3.33,3.2,2.27,2.7,2.95
"65",3.08,2.84,3,2.83,2.72,3.19
"66",2.9,3.35,3.48,1.8,2.98,3
"67",3.01,3.32,3.12,2.45,3,3.29
"68",3.12,2.84,3.41,2.55,2.97,3.79
"69",2.93,3.53,3.34,3.47,3.15,3.62
"70",2.92,3,3.28,3.15,3.06,3
"71",2.96,3,2.96,3,2.93,2.9
"72",3.03,2.82,3.18,3.19,3.1,2.83
"73",2.91,3.41,3.15,3.17,2.92,3.13
"74",2.95,2.85,3.19,3,3.07,2.96
"75",2.89,2.74,3.29,2.79,2.85,3.3
"76",3.06,2.93,3.12,3.55,3.12,2.59
"77",3.15,2.74,2.97,2.78,2.95,3.28
"78",3.1,3.09,3.42,3.46,3.13,3.23
"79",2.92,3.46,3.22,3.2,3.16,3.07
"80",3.15,2.47,3.13,2.91,3.09,3.06
"81",2.9,3.33,3.12,2.4,2.85,3.46
"82",3.13,2.77,3.05,2.67,3.17,2.56
"83",3.13,3,3.08,2.77,3.24,2.71
"84",2.86,3.29,3.05,3,3.16,2.31
"85",3.2,2.45,3.23,2.45,3.17,3.07
"86",3.15,2.91,3.14,2.5,2.99,2.92
"87",3.14,2.75,3.04,2.44,2.91,2.86
"88",2.74,3.52,3.27,3.44,3.07,2.88
"89",3.11,2.84,3.36,2.21,3.03,3.6
"90",2.68,3.04,3.26,3.42,2.87,3.07
"91",2.91,3.06,3.01,2.25,3.37,2.75
"92",3,3.59,3.02,3,2.95,2.5
"93",3.02,3,3.07,2.44,3.02,3.39
"94",2.85,3.15,3.33,3.83,3,2.89
"95",2.72,2.67,3.35,2.44,2.98,2.94
"96",3.17,2.61,3.21,3.3,3.03,2.95
"97",2.86,3.04,3.1,2.57,3.06,3.11
"98",2.95,3.33,3.03,2.83,3,3.26
"99",3.09,3.14,3.2,3.33,3,2.74
"100",2.72,2.64,3.02,2.79,3.05,3.33
"101",3.17,2.57,3.45,2.62,3.1,3.05
"102",2.98,2.83,2.96,1,2.81,3.06
"103",3.05,3,3.24,2.73,2.67,3.12
