"","values","ind"
"1","Roses And Blue Jays - Buck 65","X0"
"2","Never Turn Your Back On Your Friends - Smokie","X0"
"3","What Else Is There ? (Vitalic Remix) - Röyksopp","X0"
"4","Death Of It All - Rob Zombie","X0"
"5","Melodrama - Moving Units","X0"
"6","(i) - The Gerbils","X1"
"7","déranger les pierres - Carla Bruni","X1"
"8","Fuck Det Hele - Suspekt","X1"
"9","Simplest Love - Edward Sharpe & The Magnetic Zeros","X1"
"10","Can't Fight This Feeling - Smokie","X1"
"11","Suddenly&(I Miss Carpaty) - Gogol Bordello","X2"
"12","Fire - Ohio Players","X2"
"13","Mesmerized - Faith Evans","X2"
"14","Something Good '08 (Radio Edit) - Utah Saints","X2"
"15","Four Humours - The Most Serene Republic","X2"
"16","En la otra orilla - Rosana","X3"
"17","Achy Breaky Heart - Billy Ray Cyrus","X3"
"18","Jump Rope - Blue October","X3"
"19","Crossover - EPMD","X3"
"20","Hold On Tight - Smokie","X3"
"21","Fat Det! - Suspekt","X4"
"22","Belt - Say Anything","X4"
"23","Dirty Deeds Done Dirt Cheap - Hayseed Dixie","X4"
"24","Wattershed - Foo Fighters","X4"
"25","Shall We Dance - Bloodlined Calligraphy","X4"
"26","Hurry On Sundown - Vetiver","X5"
"27","Standing Still (Album Version) - Jewel","X5"
"28","Fat Det! - Suspekt","X5"
"29","Back To The Rivers Of Belief: Way To Eternity/Hallelujah/The Rivers Of Belief (Medley) - Enigma","X5"
"30","Low Rider - War","X5"
"31","I Just Wanna Hang Around You (Album Version) - George Benson","X6"
"32","Last Train - Graham Central Station","X6"
"33","Bad Condition - Otis Spann","X6"
"34","Theme From The Planets - Dexter Wansel","X6"
"35","Sunstroke - Chicane","X6"
"36","Hoy - Rosana","X7"
"37","Goodnight My Love - Jesse Belvin","X7"
"38","You Can't Spell Crap Without ""C"" (Album Version) - The Devil Wears Prada","X7"
"39","Fuck Rap - Suspekt","X7"
"40","If I Could Keep It For Myself - Gang Of Four","X7"
"41","Kender Du Typen - Suspekt","X8"
"42","Spookshow Baby - Rob Zombie","X8"
"43","Me Gustas Cuando Callas - Brazilian Girls","X8"
"44","Get Buck - Young Buck","X8"
"45","Tarzan Boy (Original version) - Baltimora","X8"
"46","Dub The Frequencies Of Love - Gogol Bordello","X9"
"47","Smart Patrol/Mr DNA - Devo","X9"
"48","Only This Moment  (Live) - Röyksopp","X9"
"49","Salus Suas Extanderealas Concedit - Akissforjersey","X9"
"50","Can a humble and sinful man_ praying for his dear ones""   (Sergei Leiferkus_ Sergei Larin) - Claudio Abbado","X9"
"51","It's What You Thinkin' - Tech N9ne","X10"
"52","You Make Me Work - Cameo","X10"
"53","Boys Better - The Dandy Warhols","X10"
"54","Menino Do Pelo - Daniela Mercury","X10"
"55","Hold On Tight - Smokie","X10"
"56","Let's Get Back - No Doubt","X11"
"57","Simplest Love - Edward Sharpe & The Magnetic Zeros","X11"
"58","Siempre de frente - Rosana","X11"
"59","the few that remain - Set Your Goals","X11"
"60","Crystal Chandeliers - Charley Pride","X11"
"61","Tonight At Noon - Charles Mingus","X12"
"62","Cotton Tail - Herbie Hancock","X12"
"63","Showdown [Live At Brixton Academy] - Pendulum","X12"
"64","Keep On Growing - Derek & The Dominos","X12"
"65","Goosebumps - Seeed","X12"
"66","Salus Suas Extanderealas Concedit - Akissforjersey","X13"
"67","Theme From The Planets - Dexter Wansel","X13"
"68","Más Papaya - Sidestepper","X13"
"69","Thunder Island - Jay Ferguson","X13"
"70","Kender Du Typen - Suspekt","X13"
